#1_id	#2_content	#3_label
TRAIN_587	توقع نتيجة مباراة الكلاسيكو الكبير بين الهلال و الإتحاد آيفون 6s لأسرع توقع بالتوفيق للجميع	pos
TRAIN_1211	ليت الذي جاب الهواجيس جابك وليت الدروب المهلكة . . ما اجيها اللي ذبحني . . بس فكرة غيابك اموت واعرف كيف فكرت فيها ؟ !	neut
TRAIN_1249	أنا اكثر وحده مؤمنه أن الحب ممكن يتحول لكره فضيع ، لما يكون الطرف الثاني استهتر بصبرك عليه .	neg
TRAIN_143	بطلت أصالح المقموص وأوضح للغبي واشرح للي فاهم غلط وابرر للي بيحكم عليا من غير مايعرفني من الاخر قررت اشتري دماغي .	neg
TRAIN_1114	أحبك كن حبك شيء بالفطرة ، خلقني الله عليه و وزعه فيني 💙	pos
TRAIN_1057	#برج_السرطان يكره ان يرى الالم و المعاناة في الاخرين .	neg
TRAIN_569	USER وافي طول عمرك وافي ❤️	pos
TRAIN_1307	أكثروا من قول - رب اغفر لي ولوالدي - فإنها تجمع بين ثلاث عبادات الدعاء ، والبر ، والاستغفار ❤️ .	pos
TRAIN_1269	أنا حبيبك مثلما ينبغي ، و إنت غير ذلك !	neg
TRAIN_725	يابو عيون كل ماناظرت في اتوه وسط الناعسات السكارى 💗	pos
TRAIN_219	قبلة دافئة على شفتي اللحظة التي جاءت بك ، وألف ألف قبلة ليدك الناعمة في تلك اللحظة !	pos
TRAIN_361	0 - في البطولات الأوروبية ال5 الكبرى هذا الموسم ؛ مانشستر يونايتد هو الفريق الوحيد الذي حتى الآن لم يتعادل في أي مباراة . حاسم !	pos
TRAIN_1214	كعادتك إن لم احادثك ، لن تحادثني ها نحن كالغرباء تماما ماذا بعد ؟ .	neg
TRAIN_516	الحمد لله على النقاط الثلاث والصداره الف مبروك	pos
TRAIN_761	استقبلوا أقداركم ب الحمدلله وابتسموآ فأنها من عند الله . . . . يوم سعيد . .	neut
TRAIN_613	يصد ويحسب اني بجيه ، واعده ما كن ربي خلقه 👌	neg
TRAIN_1351	رئيس المؤتمر الشعبي في اجتماع هام الان مع اعضاء اللجنة العامة . . هل ننثظر قرارات تاريخية طال انتظارها !	neut
TRAIN_415	USER بدها رفقتي . . خخ !	pos
TRAIN_1406	USER تسلم فراج على تلبية الطلب تسلم والله انه رؤؤعه	pos
TRAIN_692	اذا كنت من الي ماعبو بانزين اليوم ريتويت ريتويت 😌 ✋🏼	neg
TRAIN_614	ما كان لك . . سيأتيك رغم ضعفك ! وما ليس لك . . لن تناله بقوتك . . !	neut
TRAIN_229	اليوم ازددت عاماا االيوم آصبحت آكبر ف صباح ‘ يوم ميلادي	neg
TRAIN_855	USER ما أحب ادخل في الأشياء انت تعرف ويش عندكم وانا اعرف ويش عندنا	neg
TRAIN_257	دائما يكونون معرضين للحسد و ذلك بسبب غيره الناس منهم ، واحيانا يكونون غافلين عن هذه الغيره التي حولهم #برج_السرطان	pos
TRAIN_74	اضحك دي الضحكه ببلاش : ) #نصيحه	pos
TRAIN_885	USER هل الخلطة متوفرة في فروع السلطنة ؟	pos
TRAIN_865	USER اراها م غير فايده	neg
TRAIN_95	خديجة بن قنه . . أليس من العار أن يسقط مرسى قبل بشار ! !	neg
TRAIN_245	وصع البيت كلهمم خلص وماباقي إلا أناا ويخططون ويجهزوون وآنا مزهريه إذااكرر فقه	neg
TRAIN_1008	لو فكرا أصحاب القصور بالقبور . . لهانت الامور	neg
TRAIN_145	طب قبل ما تمشي خليني أبكي في حضنك شوية ! . .	neg
TRAIN_309	طب والله إنهم بعرفوا يشتغلوها صح . . روحتوا متضامنين رجعوكم متعنصرين قالبين عبعض ! !	neg
TRAIN_1420	#العين_بني_ياس : السماوي يعود في الوقت القاتل ويتعادل ٢ / ٢ ويجر الزعيم الى مستنقع الوقت الاضافي	neut
TRAIN_681	USER انت الان تسير علي طريق جمال حمزه وشيكا	pos
TRAIN_389	الساعي في عمل الخير كالنخلة في عطائها وثباتها وجمالها وحلاوة ثمارها وكالشمعة التي تضئ الطريق للآخرين وتضحي من اجل اسعاد الآخرين #تطوع#غراس	pos
TRAIN_648	يافرحة القلب العتيق غيرك أبد مالي رفيق 💛 .	pos
TRAIN_1429	USER نحن متعودون على مثل هذه التراهات فهم يكذبون كما يتنفسون	neg
TRAIN_1195	للخيل حب داخل القلب مكنون / / احبها من حبها لتخايل رمز الشجاعه والفخر كان تدرون / / اقسم بها الرحمن منشي المخايل	pos
TRAIN_442	لأني أحببتك بالوقت الذي كنت . . فيه رافضة للحب تماما . . أحببتك كثيرا . ! !	pos
TRAIN_1477	USER الله يوفقهم ويسعدهم ويتقبل منهم ومنكم	pos
TRAIN_939	محمود عباس يرحب بالمبادرة المصرية لوقف اطلاق النار #داعيا جميع الاطراف الى الالتزام بها ! #مبادرة_العرصات	neut
TRAIN_836	USER مصخرة هو و فريقهم ، بس شحطة وكلام ع الفاضي ذيلا	neg
TRAIN_859	أتمنى احزن وبنفس اللحظه لا يحزن من سكنوا قلبي . . ! ! أمنية مستحليه ولكنها محفزة لقلبي	neut
TRAIN_750	USER المراعاة موجودة ؛ بس انتو نفسيات 🌚	neut
TRAIN_345	USER هذا المشروع سيحدث فرق هائل مدته 4 سنوات ، قيمته 22مليون دولار ، يشمل التكنولوجيا الموفرة للطاقة والطاقه المتجددة ، تمكين المرأة ،	pos
TRAIN_1294	مدري هو كل شي صار يسد النفس ولا نفسيتي اللي انتهت 🌚	neg
TRAIN_552	USER حقوق - جامعة الملك سعود ⚖ ومستعدة أكون متحدثة عنه 💗	pos
TRAIN_10	ثق في من تحب بقدر ولائه لك .	neut
TRAIN_404	قسم العمارة بهجة الكلية و ألوانها وإبداعها و روحها 💙 بيقدر أي شخص يكون مهندس . . بس مش أي شخص بقدر يكون مهندس و فنان ! #بس_بحكي 😌	pos
TRAIN_383	بكرا الانتخابات واليوم تحسه زي يوم الوقفة . . ازمة سير مو طبيعية والكل نازل يشتري . . اصوات طبعا ! #الأردن_ينتخب #الأردن	neg
TRAIN_501	بتكون الحياه حلوة قدامك لو بطلت تفكر وتوجع دماغك ف كل صغيرة وكبيرة .	pos
TRAIN_1097	يا معجبه يا الي تهزك بيوتي ! اختاري اجملها ترى البيت بيتك \ \ وإذا بغيتي تسمعينه ب ( صوتي ) لا تستحين الوضع فله فديتك #راشد_المري	pos
TRAIN_1078	في حياتي كلها . . مامر علي باب سطح ينفتح زين ! ! وش القصه ؟ ؟ : (	neg
TRAIN_1037	الحبوبي:انجز تصاميم في غاية الروعة تم اختيار بناية الامانةالعامةلمجلس الوزراء التي ترشحت للفوز بجائزة العمارة الدولية2011 #TEDxBaghdad	neut
TRAIN_970	#كيف_بتعرفو_رجال بس يسب ويكفر . . يا ويلي شو زلمة 😏 اه يا هبيلة 😒	neg
TRAIN_1305	لو حضنت الكل من بعدي ؟ لا العطر عطري ، ولا هم انا 💛	neg
TRAIN_286	الحب وكل الحب والفستق وكلشيء التويتر حبيبي خلاص 😿 ♥ 🔪 .	pos
TRAIN_1236	بصير ابكي عالتايملاين ☺️ بالحقيقة مش زابطة 🚶🏻	neg
TRAIN_507	اذا طال عليك وقت البلاء مع استمرارك بالدعاء فاعلم ان الله لن يريد اجابة دعوتك فقط ! ! بل يريد ان يعطيك فوقها عطايا لم تطلبها ا …	pos
TRAIN_311	قلت : ياشيخ تكلمت في السوق بكلمة من الكفر فما قصدك ؟ قال : لا ولكني أغريهم على الحق ؛ لأن عندي قتل هذه من الواجبات،وهم إذا تعصبوا لدينهم يؤجرون .	neut
TRAIN_1235	قربك نعيم الروح والعين ، ونظرتك سحر وإلهام	pos
TRAIN_912	وعملنا البحر طحينة وقلبنا للنش سفينة وكتبنا عليه اسمينا	pos
TRAIN_398	دعوه لمعرفة خطط الصهاينه والمستنورين لاستهداف وتدمير الامم 🖐 - يقرأ احجار على رقعة الشطرنج	neg
TRAIN_1052	رحم الله قلبا كان لي أحب شيء رحم الله روحا كانت لي كل شيء . .	pos
TRAIN_858	#مضايا_تموت_جوعا لا ادري كيف للشيعة العرب ان يسكتوا لخطف وإسائة معتقدهم بأفعال اتباع ملالي ايران من تجويع وقتل للعرب في سوريا وشيعة الأحواز	neg
TRAIN_511	USER عمي ابومحمد أنا من بريدة رحت لمهرجان بريدة وعنيزة صدقني عنيزة أفضل بكل شيء الحق حق ياحبي لك وتستاهل باريس نجد	neut
TRAIN_6	حب ايه اللي انت جاي تقول عليه ؟ إحنا لسه متغديناش .	neg
TRAIN_1417	USER وين الناس يابدايه لما نكون فاضين مافي معاكم برامج ولما مشغولين تجيبوا البرامج اليوم من بعد صلاة العشاءماشفناشيءغيراعلانات	neg
TRAIN_1394	من يقول اني ع الفرقا دخيل من كلام الوصل ومصافح يديك انجبرت اكون قدامك ثقيل ولا انا من داخلي ميت عليك	neg
TRAIN_961	شكرا لحبك فهو معجزتي الأخيرة بعدما ولى زمان المعجزات	pos
TRAIN_1285	المرأة تكتم الحب أربعين سنة و لا تكتم البغض ساعة واحدة	neut
TRAIN_586	اما بالنسبة للإهانه فاحذر البعض يتناساها لكن #الحمل معروف عنه تسامحه السريع الا بالإهانة اذا ما ردها لك بنفس اللحظة اقع …	neg
TRAIN_233	اصبحنا واصبح الملك لله صباح الخير والمحبة والتفائل	pos
TRAIN_1071	ما تشبع عيوني من شوفتك ، لو تعيش العمر كله قبالي	pos
TRAIN_964	عبارات عنصرية واحراق سيارة بالقدس/الاعتداءعلى مصطفى البرغوثي برام الله	neut
TRAIN_124	ومهما يزيد بطش السجان قدام صوتي يكون جبان . . #حريه	pos
TRAIN_217	USER نعل على ولديك يابنت كلب	neg
TRAIN_1362	هذا حساب الشيخ العلامه محمد بن صالح العثيمين الرسمي ، راح تحصلون فيه أشياء تفيدكم في حياتكم ! فتاوى-نصائح - محاضرات-دروس USER …	pos
TRAIN_559	USER تذكر صفقة بيل ؟ حسمت مثل ذا الوقت بس اجلوها لين ينتهي توتنهام من تحليل المبلغ بالصفقات ، هذا اللي صاير مع مانشستر والايام بتبين	neut
TRAIN_853	بيطيح نصك لو مشيت فالمول بدون ما تتحرش ف بنات الناس ؟ 💩	pos
TRAIN_1311	قلبي إن كتم طويلا ، تغير كثيرا ، ،	neg
TRAIN_526	مجبوره امحي الذكريات الحلوه عشان اعيش بدون - ما ألتفت لك .	neg
TRAIN_919	في ناس بتويتر تعدو قلة الادب ماعاد تدري ايش تسميهم	neg
TRAIN_432	USER ازا فاهم انو هدول بمثلو الاردن بتكون غلطان و ازا فاهم انو تعاطفنا مع معاذ لانو اردني تذكر انو مسلم احكيلك تذكر انو انسان .	neg
TRAIN_27	سوري مبسلمش على اوغاد	neg
TRAIN_1220	كما تدين تدان . . ليس فقط في الظلم ، بل ستدان حين تجبر خاطرا ، وتزيل هما ، وتسعد نفسا ، سيأتي اليوم الذي يدان لك جميلك !	pos
TRAIN_899	تعال بحلم واحسبها إلك جيه واقولن جيت . !	neg
TRAIN_519	حبيبي ياللي تركت الغير عشانه بس ابسأل وينه اليوم عني وين الوفا والصدق وين الامانه امنت له قلبي خذاه وتركني 🎶 .	neg
TRAIN_646	فالحب يكفيني انك اخر دروب الحلا كثر ما دمك خفيف ، اشوف كلك ثقل ! ! معك اعيش ( الغلو ) ماني ب اعيش ( الغلا ) وصلتني للجنون اللي ما بعده عقل !	pos
TRAIN_1264	في أشياء بسيطه تستاهل نحب الحياة فيها مثل اللحظات العفويه والناس الصدفه ، أشياء توصل قلبك لمراحل عميقه من الفرح .	pos
TRAIN_723	الحمد لله ان الرزق بإيد رب العالمين مو بإيد البشر	pos
TRAIN_1331	كلمآ آحسنت نيتك . . آحسن الله حآلڳ . . ۈ كلما تمنيت ا̄لخير لغيرڳك . . جآءك ا̄ﻟخير من حيث لا تحتسب . . يسعد صباح الجميع ♥	pos
TRAIN_800	عطني حنآنك ولذة آلحب بسكآت دآم آلعواذل بيننآ خآرج آلنص وخل آلعوآذل للحكي وآلتفآهآت آحبك بكيفي وهم مآلهم خص	pos
TRAIN_429	لا تفعل المستحيل . . لشخص لن يفعل لك الممكن أما أحلامك وأهدافك فافعل لها المستحيل . . حتى تصبح ممكنة ! #ابراهيم_الفقي	pos
TRAIN_328	USER صحيح والله الله يخليلي اولادي ويخلي للجميع اولادهم	pos
TRAIN_1296	الكلام سهل يقال ولكن مابين الحروف صعب . . صعب جدا من يفهم معناها . .	neut
TRAIN_55	ﻓﻲ ﻓﺮﻕ ﺑﻴﻦ ﺍﻟﻀﺤﻜﺔ ﻭ ﺍﻟﻔﺮﺣﺔ . . ﺍﻟﻜﻞ ﺑﻴﻀﺤﻚ ﻟﻜﻦ ﻣﺶ ﺍﻟﻜﻞ ﻓﺮﺣﺎﻥ ! ! : - (	neg
TRAIN_288	أنا كومة حيرة . . اقفز بأكثر الأماكن خطورة و تهور . . ومابين الحافة والحافة يسقط ثباتي و تزيد إحتمالية موتي ! !	neg
TRAIN_1119	بالزين ما فيه لا بعدك ولا قبلك مثلك مايتكرر الا بالعمر . . مره 💜	pos
TRAIN_25	لا يمكن أن تكون سعيدا و أنت في كامل قواك العقلية .	neg
TRAIN_194	قلوبناا . . غدت أطلال لمدينة كانت عامرة لا تصلح ل السكن اليوم ~ •	neg
TRAIN_282	USER انت رجل في عصر الرويبضه	pos
TRAIN_90	بقي الامان عندنا ف المسافات . . المطلوب منقربش عشان منتعبش . . ! ! 😐 🙈 ✋	pos
TRAIN_1474	USER وبي تستاهل الله يسعدك دنيا واخره انت مبدع ماشاءالله عليك	pos
TRAIN_781	اتقبلك ناقص ، لكن ما اتقبلك كذاب	neg
TRAIN_585	مارفيك مدرب داهية مدرب كبير كل مانتقدناه الجمنا مدرب لايعرف الا الانتصار مدرب عظيم . . شكرا مارفيك 💚 💚	pos
TRAIN_1117	من الظلم أن تقيس حظك بعدد اﻷشياء الجميلة التي لم تحصل عليها دون النظر إلى اﻷشياء السيئة التي لم تصبك ، كن منصفا حتى مع نفس …	neut
TRAIN_1171	تغار عليها وهي مو لك . . زي حارس الامن اللي يحرس أموال الناس في البنوك	neg
TRAIN_716	اذا ما تقدرين على الفعل ، لا تشدين حيلج بالكلام 👌🏽 .	neg
TRAIN_658	لمن رحت من عندي ي حال بعدك ضليت 💔 🎶	neg
TRAIN_635	حكيك ؟ صار شي اللي انتظره بكل وقت يا انت وش كثر احبك 💛	pos
TRAIN_520	USER ماظنتي قدهم مشتاقين للدوامات حتى لو كان بس يقابلون صديقاتهم واجواء الدوام موب للدراسة 😹 * نص صديقاتي كذا *	neg
TRAIN_1386	USER الله يهديه ويسعده مره عصبي ويفقد اعصابه ZDRSEDK4 #	neg
TRAIN_817	USER احسن الله عزاءكم يا أهل الكويت . . مصابكم هو مصابنا	neg
TRAIN_1173	من الغباء إنك تصدق شخص وعدك إنه ما بيخليك ، هه .	neg
TRAIN_212	حظي سيء لأنني لم أصادفك من قبل ، وخطأي هو الأسوأ لأنني لم أبحث عنك من قبل .	pos
TRAIN_1441	. إذا أوقد اليأس في جنبيك معركة فقل له : إن ظني بالله سيطفيها . . *	pos
TRAIN_890	زهرة حياتي،صارت شوكه 🌵 💔 .	neg
TRAIN_737	٢٩|رمضان 🌙 ربنا استودعناك رمضان فلا تجعله اخر عهدنا به؛للهم اكتبنا فيه من المعتوقين من نيرانك والفائزين بجنانك وارحمنا واغفر …	pos
TRAIN_1333	فكرت أمس بحبي لك وأحببت التفكير بتفكيري ، تذكرت فجأة قطرات العسل على شفتيك فلحست السكر عن جدران ذاكرتي	pos
TRAIN_162	احب لما يجي اسمك ويطالعون فيني كويس عارفين آنك لي ' $	pos
TRAIN_1414	الحمد لك ربي حتى ترضى والحمد لك ربي إذا رضيت والحمد لك ربي بعد ما ترضى والحمد لك ربي أن ألهمتني حمدك فأسألك بكرمك ألا ت …	neut
TRAIN_656	النظافة الجسمانية والسباحة امر متطلب منك في دوامك والا في السوق حتى في بيتكم يخرب بيتكم!ما تشم نفسك قبل لا تطلع ! انزين خل رفيجك يشمك ويبلغك	neg
TRAIN_1438	#مجزره_القاعه_الكبري اتهامات كاذبه القضية كلها تصفية حسابات حوثعفاشيه مو غريبه عليهم لما الحوثيين استهدفو حفل زفاف في ذمار واته …	neg
TRAIN_390	لا شيء أقسى من إلإشتياق لشخص أنت أمرته . . بالأبتعاد !	neg
TRAIN_1087	USER هولاء مدري وش اقول عنهم . .	neg
TRAIN_1383	USER كان صنم واقف ماتحرك حركه خايف عى اناقته وشياكته هه هه	neg
TRAIN_918	بدأ فصل الشتاء ! مفهوم العطاء وفعل الخير في تقديم ملابس وما شابه لأناس بحاجتها ك تلك التي تقبل إستخدامها ! !	pos
TRAIN_1304	يقول علم النفس ان محادثة شخص مهم في حياتك لمدة 60 دقيقة قبل النوم يساعد بشكل كبير على النوم بشكل افضل	pos
TRAIN_1056	ٺحز ﺑخآطري ﺂفعآلهم ۆمآ ﺂٺوب ﺂرجع ۆﺂعآمل ﺂلناس [ بطيب . @ . ﺂصلي ] ( y )	pos
TRAIN_840	اخي الموظف بث روح العمل والتعاون مع زملاء العمل وتحفيزهم وطرد الافكار السلبيه من رؤسهم كفيل بتحسين بئيه العلمل في #المجت…	pos
TRAIN_582	شكرا جزيلا للرئاسة العامة لهيئة الأمر بالمعروف والنهي عن المنكر لإغلاقها مواقع الإلحاد في السعودية هذا اعظم انجاز عا …	pos
TRAIN_297	اهم شي فيف ستار . الشكوى لله يا شيحه . جودك على الصغار والا تنينك يهرك . #الشيحة_شركة_الكهرباء	neg
TRAIN_1191	حتى لو ضآقت ﺂحوﺂلي ! حمدت ربي على كل حآل	pos
TRAIN_883	خمسين يمينا لن يحبك أحد كحبي لك	pos
TRAIN_106	ﺍﻟﻔﺮﺡ ﺍﻟﻨﻬﺎﺭﺩﺓ ﻋﺒﺎﺩﺓ . . ﺭﺳﺎﻟﺔ ﻻﻭﻻﺩ ﺍﻟﻜﺌﻴﺒﺔ : - )	pos
TRAIN_57	دعوات عبد الظاهر حلت عليكو يا نادى الوطنيه - _ -	neg
TRAIN_499	اللهم أذق قلوبنا برد عفوك.وحلاوة حبك .	pos
TRAIN_318	USER كل ما تمسكي كتاب بتنعسي و لا بتفتحي تويتر ؟ ؟ في فرق ؟	neg
TRAIN_276	USER البارحه فالدور واحد وخمسين شبيت من رأس الفتيل الزقارة وحذفتها والدمع في محجر العين ما سال لكنه رهين الاشارة	neg
TRAIN_978	مكفي كذب علي بعض بشار وبس	neg
TRAIN_932	الطريق نحو القمه قد يشعرك بالتعب والارهاق ، خذ نفسا واستمر	pos
TRAIN_234	عاجل / تشكيلة ريال مدريد : نافاس كارفخال فاران راموس مارسليو فاسكيز كوفاسيتش مورديتش إيسكو بيل كرستيانو …	neut
TRAIN_1480	البنت اللي تغير رقمها لما تنخطب عارفين موضوعها بس اللي تصك صديقاتها العزوبيات بلوك بعد الخطبه هذي اللي حيرتني و حيرت الع …	neg
TRAIN_315	٨ - الدائنين الخارجيين وعكس المأزق على المواطن مرات ومرات . اين الرئيس الاقتصادي المتمرس من ذلك ، وهل واجبه أني تحت ضغو . .	neg
TRAIN_420	يلي بضايقك لما تشوف حدا جاي على الاردن و عندو قصر و خدم وحشم و بسب على الاردن ! ! لما نسئلو من اين لك هذا ؟ ! بحكيلك بيعت كطعت ارض بل بلاد 👍	neg
TRAIN_317	USER تغريداتك تذكرني بتغريدات الشبيح أبو ماريا الدجال نفس الأسلوب ونفس الدجل ونفس الأفتراء يبدو أنك رجل استخبارات سعودي متمرس	neg
TRAIN_592	#بس_اقول لا ي زينه هالزعل كايد علينا ، ، ! #كعام	neg
TRAIN_76	عندما تكون إنسانا عفويا قد تقع في مشاكل لم تتوقعها ! ! لأن النقاء الذي بداخلك لم يتوافق مع التلوث الذي تعج به عقول بعض البشر	neg
TRAIN_436	برنامج #الصدمة مؤثر مرة ويعور القلب 😭 💔	neg
TRAIN_554	USER الله يحييك مااختلفنا على هالشي وكلنا شفنا جمهوره في امريكا بس الشركه يهمها ارقام المبيعات بغض النظر هل هي من لاعب او من مجموعة	neg
TRAIN_714	ليس الجميع يستحق إحترامك ، ثمة من يستحق تجاهلك حتى يحترم نفسه أولا .	neg
TRAIN_701	كلنا : اموات في شرع الغياب ! يلعن الله غيبتك لابو : الكبر ' )	neg
TRAIN_269	بعض الصمت هو ابلغ درجات التعبير . . يكفي أن أكتب انا مشتااق ياا موصل #علي_غازي_ABR	pos
TRAIN_213	USER الدون كلام و فعل	pos
TRAIN_669	في ناس مادري ليش تزعل لما نشوفها على حقيقتها ، واقعكم سفله هم مايصير اغمض عيوني يعني ؟	neg
TRAIN_39	رحلة يا رحلة يا صعبة يا س هلة	neut
TRAIN_1205	فقير مال ﻟگن غني روح . . وآملك مفاتيح الحياه السعيدهه	pos
TRAIN_797	USER مرحبا بك ، نرجو التكرم بمتابعة حساباتنا على وسائل التواصل الإجتماعي لمعرفة جميع العروض القادمة . شكرا لك !	neut
TRAIN_1118	الى أحدهم ، أنتي جميعهم 💙 .	pos
TRAIN_348	الطائرات الاسرائيلية . . حلي عن سمانا — looking for شروط المقاومة	neg
TRAIN_103	أخبرني . . كيف لي أن أحيا بدونك ! ؟	neg
TRAIN_595	رحم الله الملك فيصل . . أخفق كثيرا في سياسته الداخلية . . ولكنه كان عبقريا في الخارجية . . وفي الملف اليمني بالذات . .	pos
TRAIN_579	عن المنامات الجميلة التي تجمعنا بمن نشتاقهم ❤	pos
TRAIN_1053	USER يرخص في بنته ! ! ياخي انت حماار	neg
TRAIN_924	الله يحميكى يا غزة نتمنى السلامة للجميع فى قطاعنا الحبيب دعوواتكم فى هذا الوقت المباارك	neut
TRAIN_1035	لكبريائي حكاية هز عرش النساء واراهن ان حذائي افضل منك يا حواء	neg
TRAIN_984	وين العيد والاقصى بعيد وين الحب ومعيش جوب	neg
TRAIN_1340	عطني من دنياك حبك . . وإترك الباقي لهم . . 💛	pos
TRAIN_1128	ماكرهتك لكن . . خاب الظن فيك . .	neg
TRAIN_1433	من تربية الله لك ( 1 ) . . قد يبتليك الله بالأذى ممن حولك حتى لا يتعلق قلبك بأي أحد لا أم ولا أب لا أخ ولا صديق ، فيتعلق قلبك به وحده 💎 💎	neut
TRAIN_119	عايزة أقول إنى جبت النهاردة هاف بوت ب١٠٠ جنيه ✋ ✋ عمار يا شبرا 😍	pos
TRAIN_386	عندما تصادف أحد أصدقاء الماضي ، تشعر أنك تصادف شخصيتك القديمة ، تتحدث معه كما كنت وليس كما أصبحت . . ~	neut
TRAIN_408	ساعة الفراق . . متلومش حد على الي قاله . .	neg
TRAIN_867	تدين و تدان على حلو فعلك و مره .	neut
TRAIN_894	عدد المكتبات العامة في الولايات المتحدة الأمريكية أكبر من عدد مطاعم ماكدونالدز .	neg
TRAIN_22	ضحكتلي الدنيا و سالتني رايح علي فين و خدتني معاها اتمشينا و بقينا حبايب	pos
TRAIN_346	معلومات قد تصدمك : اول طفل تلده الام غالبا يكون اكبر اخوانه ! ! 🌚	pos
TRAIN_1100	دعوتي في كل يوم يالله عسى تتحقق .	pos
TRAIN_1224	شايف هالبحر ؟ و هالسما ؟ و هالبشر و كل شي حي ؟ طيب تشوف هالكون كله ؟ ^نظرك سليم ماشاءالله 🌚	neut
TRAIN_597	دع الماضي يمضي وأحاديث الناس تمضي . . فهل سمعت شخص ربح سباقا وهو ينظر خلفه . . ؟ 👍 👍	pos
TRAIN_1400	USER والسجن ليه مافي كل يوم تقتلوا ام الفقره حراام عليكم السجن احلى شيء	neg
TRAIN_1068	إن استطعت ان تمسح دموع أحدهم فأنت انسان . . وإن استطعت أن تجعله يبتسم بعدها ، فأنت من العظماء !	pos
TRAIN_115	USER منكم لله سلمتونا تسليم اهالي	neg
TRAIN_513	هب البراد وذعذعن النسانيس وشبيت لضيوف المحبه هجوسي	pos
TRAIN_922	تعازينا لأخي صقر دلول بارتقاء ابناء الخال . . الشهيد شمالي .	neut
TRAIN_1169	انا عشقتك بداية وانا نجم بسماك 💙 . .	pos
TRAIN_469	غالب بضربه راس كان رد بليغ يا أصحاب السبعين تمريره	neg
TRAIN_254	نفسي أحصل ناس زيي ونصير اصحاب،بس مشكلة النادر نادر .	pos
TRAIN_839	لاتكتب شعور وأنت تحت تاثير وجع .	neut
TRAIN_202	كرهت السنة الجاية قبل لا تجي .	neg
TRAIN_604	في البيت سرير ومكيف وظلمه ومايجيك النوم 😬 وفي الدوام مستعد تنام لو علي كيس اسمنت 😜	neg
TRAIN_997	USER بعجبني كلامك ي عبد.الكريم استمر في حفظ الله : - )	pos
TRAIN_1110	يقولون كل فتاة بأبيها مغرمه وانا تعديت هذه المرحلة بسنين ضوئية هو كل شي كل شي حرفيا 💙 . .	pos
TRAIN_1428	#داعا_علي_الهمش سنشتاق لطلاتك وابداعاتك الرئعه الله يسعدك دنيا واخره	neut
TRAIN_1073	أبي أقول صباح الخير ! ! بس أنتم الخير في كل صباح !	pos
TRAIN_384	سهرتنا الليلة برعاية اعصار ( وضحة ) من قوة الهوا حاسس اني بالملاهي ! طيب اذا ساندي و كاترينا خربوا اميركا وضحة شو رح تساوي فينا ؟ ! الله يستر	neg
TRAIN_425	لازم ينكسر موبايل كل حدا بحط ستوري اكتر من 50 snapchat	neg
TRAIN_376	مين حكالو الأصفر الكوكحي بلبقلو حارس انجلترا ! !	neg
TRAIN_1482	ياليل خذني في ثناياك آوراق وخلي نجومك تكتب الوجد عني وابعث مرسيلي معناة مشتاق رغم التجافي منه ماخاب ظني	neg
TRAIN_690	لا ﺑﺄﺱ ﺃﻥ ﺧﺬﻟﺘﻨﻲ ﻑ ﺃﻧﺎ . . ﺧﺬﻟﺖ ﻧﻔﺴﻲ ﺏ ﺃﺧﺘﻴﺎﺭﻙ . . : )	neg
